employee_id,date,am_in,am_out,pm_in,pm_out,ot_in,ot_out
EMP-2026-9001,2026-09-14,08:00,12:00,13:00,17:00,,
EMP-2026-9001,2026-09-15,08:00,12:00,13:00,17:00,,
EMP-2026-9001,2026-09-16,08:00,12:00,13:00,17:00,,
EMP-2026-9001,2026-09-17,08:00,12:00,13:00,17:00,,
EMP-2026-9001,2026-09-18,08:00,12:00,13:00,17:00,,
EMP-2026-9002,2026-09-14,08:00,12:00,13:00,17:00,,
EMP-2026-9002,2026-09-15,08:00,12:00,13:00,17:00,,
EMP-2026-9002,2026-09-16,08:00,12:00,13:00,17:00,,
EMP-2026-9002,2026-09-17,08:00,12:00,13:00,17:00,,
EMP-2026-9002,2026-09-18,08:00,12:00,13:00,17:00,,
EMP-2026-9003,2026-09-14,08:00,12:00,13:00,17:00,,
EMP-2026-9003,2026-09-15,08:00,12:00,13:00,17:00,,
EMP-2026-9003,2026-09-16,08:00,12:00,13:00,17:00,,
EMP-2026-9003,2026-09-17,08:00,12:00,13:00,17:00,,
EMP-2026-9003,2026-09-18,08:00,12:00,13:00,17:00,,
EMP-2026-9004,2026-09-14,08:00,12:00,13:00,17:00,,
EMP-2026-9004,2026-09-15,08:00,12:00,13:00,17:00,,
EMP-2026-9004,2026-09-16,08:00,12:00,13:00,17:00,,
EMP-2026-9004,2026-09-17,08:00,12:00,13:00,17:00,,
EMP-2026-9004,2026-09-18,08:00,12:00,13:00,17:00,,
EMP-2026-9005,2026-09-14,08:00,12:00,13:00,17:00,,
EMP-2026-9005,2026-09-15,08:00,12:00,13:00,17:00,,
EMP-2026-9005,2026-09-16,08:00,12:00,13:00,17:00,,
EMP-2026-9005,2026-09-17,08:00,12:00,13:00,17:00,,
EMP-2026-9005,2026-09-18,08:00,12:00,13:00,17:00,,
EMP-2026-9006,2026-09-14,08:00,12:00,13:00,17:00,,
EMP-2026-9006,2026-09-15,08:00,12:00,13:00,17:00,,
EMP-2026-9006,2026-09-16,08:00,12:00,13:00,17:00,,
EMP-2026-9006,2026-09-17,08:00,12:00,13:00,17:00,,
EMP-2026-9006,2026-09-18,08:00,12:00,13:00,17:00,,
EMP-2026-9007,2026-09-14,08:00,12:00,13:00,17:00,,
EMP-2026-9007,2026-09-15,08:00,12:00,13:00,17:00,,
EMP-2026-9007,2026-09-16,08:00,12:00,13:00,17:00,,
EMP-2026-9007,2026-09-17,08:00,12:00,13:00,17:00,,
EMP-2026-9007,2026-09-18,08:00,12:00,13:00,17:00,,
EMP-2026-9008,2026-09-14,08:00,12:00,13:00,17:00,,
EMP-2026-9008,2026-09-15,08:00,12:00,13:00,17:00,,
EMP-2026-9008,2026-09-16,08:00,12:00,13:00,17:00,,
EMP-2026-9008,2026-09-17,08:00,12:00,13:00,17:00,,
EMP-2026-9008,2026-09-18,08:00,12:00,13:00,17:00,,
EMP-2026-9009,2026-09-14,08:00,12:00,13:00,17:00,,
EMP-2026-9009,2026-09-15,08:00,12:00,13:00,17:00,,
EMP-2026-9009,2026-09-16,08:00,12:00,13:00,17:00,,
EMP-2026-9009,2026-09-17,08:00,12:00,13:00,17:00,,
EMP-2026-9009,2026-09-18,08:00,12:00,13:00,17:00,,
EMP-2026-9010,2026-09-14,07:00,12:00,13:00,16:00,,
EMP-2026-9010,2026-09-15,07:00,12:00,13:00,16:00,,
EMP-2026-9010,2026-09-16,07:00,12:00,13:00,16:00,,
EMP-2026-9010,2026-09-17,07:00,12:00,13:00,16:00,,
EMP-2026-9010,2026-09-18,07:00,12:00,13:00,16:00,,
EMP-2026-9011,2026-09-14,07:00,12:00,13:00,16:00,,
EMP-2026-9011,2026-09-15,07:00,12:00,13:00,16:00,,
EMP-2026-9011,2026-09-16,07:00,12:00,13:00,16:00,,
EMP-2026-9011,2026-09-17,07:00,12:00,13:00,16:00,,
EMP-2026-9011,2026-09-18,07:00,12:00,13:00,16:00,,
EMP-2026-9012,2026-09-14,07:00,12:00,13:00,16:00,,
EMP-2026-9012,2026-09-15,07:00,12:00,13:00,16:00,,
EMP-2026-9012,2026-09-16,07:00,12:00,13:00,16:00,,
EMP-2026-9012,2026-09-17,07:00,12:00,13:00,16:00,,
EMP-2026-9012,2026-09-18,07:00,12:00,13:00,16:00,,
EMP-2026-9013,2026-09-14,08:00,12:00,13:00,17:00,,
EMP-2026-9013,2026-09-15,08:00,12:00,13:00,17:00,,
EMP-2026-9013,2026-09-16,08:00,12:00,13:00,17:00,,
EMP-2026-9013,2026-09-17,08:00,12:00,13:00,17:00,,
EMP-2026-9013,2026-09-18,08:00,12:00,13:00,17:00,,
EMP-2026-9014,2026-09-14,08:00,12:00,13:00,17:00,,
EMP-2026-9014,2026-09-15,08:00,12:00,13:00,17:00,,
